,feature,value,precision,precision_std,recall,recall_std
0,gender,0,0.8387096774127788,0.04633825845198633,0.9010127839173425,0.04633825845198633
1,gender,1,0.9354938135739032,0.030958812383908428,0.8843190502829426,0.030958812383908428
2,age,0,0.951579957221566,0.027005252010971235,0.757702915182987,0.027005252010971235
3,age,1,0.6935483870967742,0.058083003258232346,0.9290059265692455,0.058083003258232346
4,skin-color,0,0.8225806451605012,0.0481303994882481,0.9162146481106473,0.0481303994882481
5,skin-color,1,0.988295319853554,0.015691694410977838,0.9594437541542388,0.015691694410977838
6,clothing-color,0,0.8064516129032681,0.049775274181381716,0.2986317022111816,0.049775274181381716
7,clothing-color,1,0.7580645161290323,0.05395511148904288,0.9636505002191417,0.05395511148904288
8,blurry,0,0.467741935483871,0.0628628410280811,0.7411324750915819,0.0628628410280811
9,blurry,1,0.7096774193548386,0.05718743615663988,0.41764742940270544,0.05718743615663988
10,occluded,0,1,1,1,1
11,occluded,1,1,1,1,1
